state,totalvote,blue,red,outcome,year
Pennsylvania,25,0,25,red,1988
Rhode Island,4,4,0,blue,1988
South Carolina,8,0,8,red,1988
South Dakota,3,0,3,red,1988
Tennessee,11,0,11,red,1988
Texas,29,0,29,red,1988
Utah,5,0,5,red,1988
Vermont,3,0,3,red,1988
Virginia,12,0,12,red,1988
Washington,10,10,0,blue,1988
West Virginia,6,5,0,blue,1988
Wisconsin,11,11,0,blue,1988
Wyoming,3,0,3,red,1988
Alabama,9,0,9,red,1992
Alaska,3,0,3,red,1992
Arizona,8,0,8,red,1992
Arkansas,6,6,0,blue,1992
California,54,54,0,blue,1992
Colorado,8,8,0,blue,1992
Connecticut,8,8,0,blue,1992
Delaware,3,3,0,blue,1992
District of Columbia,3,3,0,blue,1992
Florida,25,0,25,red,1992
Georgia,13,13,0,blue,1992
Hawaii,4,4,0,blue,1992
Idaho,4,0,4,red,1992
Illinois,22,22,0,blue,1992
Indiana,12,0,12,red,1992
Iowa,7,7,0,blue,1992
Kansas,6,0,6,red,1992
Kentucky,8,8,0,blue,1992
Louisiana,9,9,0,blue,1992
Maine,4,4,0,blue,1992
Maryland,10,10,0,blue,1992
Massachusetts,12,12,0,blue,1992
Michigan,18,18,0,blue,1992
Minnesota,10,10,0,blue,1992
Mississippi,7,0,7,red,1992
Missouri,11,11,0,blue,1992
Montana,3,3,0,blue,1992
Nebraska,5,0,5,red,1992
Nevada,4,4,0,blue,1992
New Hampshire,4,4,0,blue,1992
New Jersey,15,15,0,blue,1992
New Mexico,5,5,0,blue,1992
New York,33,33,0,blue,1992
North Carolina,14,0,14,red,1992
North Dakota,3,0,3,red,1992
Ohio,21,21,0,blue,1992
Oklahoma,8,0,8,red,1992
Oregon,7,7,0,blue,1992
Pennsylvania,23,23,0,blue,1992
Rhode Island,4,4,0,blue,1992
South Carolina,8,0,8,red,1992
South Dakota,3,0,3,red,1992
Tennessee,11,11,0,blue,1992
Texas,32,0,32,red,1992
Utah,5,0,5,red,1992
Vermont,3,3,0,blue,1992
Virginia,13,0,13,red,1992
Washington,11,11,0,blue,1992
West Virginia,5,5,0,blue,1992
Wisconsin,11,11,0,blue,1992
Wyoming,3,0,3,red,1992
Alabama,9,0,9,red,1996
Alaska,3,0,3,red,1996
Arizona,8,8,0,blue,1996
Arkansas,6,6,0,blue,1996
California,54,54,0,blue,1996
Colorado,8,0,8,red,1996
Connecticut,8,8,0,blue,1996
Delaware,3,3,0,blue,1996
District of Columbia,3,3,0,blue,1996
Florida,25,25,0,blue,1996
Georgia,13,0,13,red,1996
Hawaii,4,4,0,blue,1996
Idaho,4,0,4,red,1996
Illinois,22,22,0,blue,1996
Indiana,12,0,12,red,1996
Iowa,7,7,0,blue,1996
Kansas,6,0,6,red,1996
Kentucky,8,8,0,blue,1996
Louisiana,9,9,0,blue,1996
Maine,4,4,0,blue,1996
Maryland,10,10,0,blue,1996
Massachusetts,12,12,0,blue,1996
Michigan,18,18,0,blue,1996
Minnesota,10,10,0,blue,1996
Mississippi,7,0,7,red,1996
Missouri,11,11,0,blue,1996
Montana,3,0,3,red,1996
Nebraska,5,0,5,red,1996
Nevada,4,4,0,blue,1996
New Hampshire,4,4,0,blue,1996
New Jersey,15,15,0,blue,1996
New Mexico,5,5,0,blue,1996
New York,33,33,0,blue,1996
North Carolina,14,0,14,red,1996
North Dakota,3,0,3,red,1996
Ohio,21,21,0,blue,1996
Oklahoma,8,0,8,red,1996
Oregon,7,7,0,blue,1996
Pennsylvania,23,23,0,blue,1996
Rhode Island,4,4,0,blue,1996
South Carolina,8,0,8,red,1996
South Dakota,3,0,3,red,1996
Tennessee,11,11,0,blue,1996
Texas,32,0,32,red,1996
Utah,5,0,5,red,1996
Vermont,3,3,0,blue,1996
Virginia,13,0,13,red,1996
Washington,11,11,0,blue,1996
West Virginia,5,5,0,blue,1996
Wisconsin,11,11,0,blue,1996
Wyoming,3,0,3,red,1996
Alabama,9,0,9,red,2000
Alaska,3,0,3,red,2000
Arizona,8,0,8,red,2000
Arkansas,6,0,6,red,2000
California,54,54,0,blue,2000
Colorado,8,0,8,red,2000
Connecticut,8,8,0,blue,2000
Delaware,3,3,0,blue,2000
District of Columbia,3,2,0,blue,2000
Florida,25,0,25,red,2000
Georgia,13,0,13,red,2000
Hawaii,4,4,0,blue,2000
Idaho,4,0,4,red,2000
Illinois,22,22,0,blue,2000
Indiana,12,0,12,red,2000
Iowa,7,7,0,blue,2000
Kansas,6,0,6,red,2000
Kentucky,8,0,8,red,2000
Louisiana,9,0,9,red,2000
Maine,4,4,0,blue,2000
Maryland,10,10,0,blue,2000
Massachusetts,12,12,0,blue,2000
Michigan,18,18,0,blue,2000
Minnesota,10,10,0,blue,2000
Mississippi,7,0,7,red,2000
Missouri,11,0,11,red,2000
Montana,3,0,3,red,2000
Nebraska,5,0,5,red,2000
Nevada,4,0,4,red,2000
New Hampshire,4,0,4,red,2000
New Jersey,15,15,0,blue,2000
New Mexico,5,5,0,blue,2000
New York,33,33,0,blue,2000
North Carolina,14,0,14,red,2000
North Dakota,3,0,3,red,2000
Ohio,21,0,21,red,2000
Oklahoma,8,0,8,red,2000
Oregon,7,7,0,blue,2000
Pennsylvania,23,23,0,blue,2000
Rhode Island,4,4,0,blue,2000
South Carolina,8,0,8,red,2000
South Dakota,3,0,3,red,2000
Tennessee,11,0,11,red,2000
Texas,32,0,32,red,2000
Utah,5,0,5,red,2000
Vermont,3,3,0,blue,2000
Virginia,13,0,13,red,2000
Washington,11,11,0,blue,2000
West Virginia,5,0,5,red,2000
Wisconsin,11,11,0,blue,2000
Wyoming,3,0,3,red,2000
Alabama,9,0,9,red,2004
Alaska,3,0,3,red,2004
Arizona,10,0,10,red,2004
Arkansas,6,0,6,red,2004
California,55,55,0,blue,2004
Colorado,9,0,9,red,2004
Connecticut,7,7,0,blue,2004
Delaware,3,3,0,blue,2004
District of Columbia,3,3,0,blue,2004
Florida,27,0,27,red,2004
Georgia,15,0,15,red,2004
Hawaii,4,4,0,blue,2004
Idaho,4,0,4,red,2004
Illinois,21,21,0,blue,2004
Indiana,11,0,11,red,2004
Iowa,7,0,7,red,2004
Kansas,6,0,6,red,2004
Kentucky,8,0,8,red,2004
Louisiana,9,0,9,red,2004
Maine,4,4,0,blue,2004
Maryland,10,10,0,blue,2004
Massachusetts,12,12,0,blue,2004
Michigan,17,17,0,blue,2004
Minnesota,10,9,0,blue,2004
Mississippi,6,0,6,red,2004
Missouri,11,0,11,red,2004
Montana,3,0,3,red,2004
Nebraska,5,0,5,red,2004
Nevada,5,0,5,red,2004
New Hampshire,4,4,0,blue,2004
New Jersey,15,15,0,blue,2004
New Mexico,5,0,5,red,2004
New York,31,31,0,blue,2004
North Carolina,15,0,15,red,2004
North Dakota,3,0,3,red,2004
Ohio,20,0,20,red,2004
Oklahoma,7,0,7,red,2004
Oregon,7,7,0,blue,2004
Pennsylvania,21,21,0,blue,2004
Rhode Island,4,4,0,blue,2004
South Carolina,8,0,8,red,2004
South Dakota,3,0,3,red,2004
Tennessee,11,0,11,red,2004
Texas,34,0,34,red,2004
Utah,5,0,5,red,2004
Vermont,3,3,0,blue,2004
Virginia,13,0,13,red,2004
Washington,11,11,0,blue,2004
West Virginia,5,0,5,red,2004
Wisconsin,10,10,0,blue,2004
Wyoming,3,0,3,red,2004
Alabama,9,0,9,red,2008
Alaska,3,0,3,red,2008
Arizona,10,0,10,red,2008
Arkansas,6,0,6,red,2008
California,55,55,0,blue,2008
Colorado,9,9,0,blue,2008
Connecticut,7,7,0,blue,2008
Delaware,3,3,0,blue,2008
District of Columbia,3,3,0,blue,2008
Florida,27,27,0,blue,2008
Georgia,15,0,15,red,2008
Hawaii,4,4,0,blue,2008
Idaho,4,0,4,red,2008
Illinois,21,21,0,blue,2008
Indiana,11,11,0,blue,2008
Iowa,7,7,0,blue,2008
Kansas,6,0,6,red,2008
Kentucky,8,0,8,red,2008
Louisiana,9,0,9,red,2008
Maine,4,4,0,blue,2008
Maryland,10,10,0,blue,2008
Massachusetts,12,12,0,blue,2008
Michigan,17,17,0,blue,2008
Minnesota,10,10,0,blue,2008
Mississippi,6,0,6,red,2008
Missouri,11,0,11,red,2008
Montana,3,0,3,red,2008
Nebraska,5,1,4,red,2008
Nevada,5,5,0,blue,2008
New Hampshire,4,4,0,blue,2008
New Jersey,15,15,0,blue,2008
New Mexico,5,5,0,blue,2008
New York,31,31,0,blue,2008
North Carolina,15,15,0,blue,2008
North Dakota,3,0,3,red,2008
Ohio,20,20,0,blue,2008
Oklahoma,7,0,7,red,2008
Oregon,7,7,0,blue,2008
Pennsylvania,21,21,0,blue,2008
Rhode Island,4,4,0,blue,2008
South Carolina,8,0,8,red,2008
South Dakota,3,0,3,red,2008
Tennessee,11,0,11,red,2008
Texas,34,0,34,red,2008
Utah,5,0,5,red,2008
Vermont,3,3,0,blue,2008
Virginia,13,13,0,blue,2008
Washington,11,11,0,blue,2008
West Virginia,5,0,5,red,2008
Wisconsin,10,10,0,blue,2008
Wyoming,3,0,3,red,2008
Alabama,9,0,9,red,2012
Alaska,3,0,3,red,2012
Arizona,11,0,11,red,2012
Arkansas,6,0,6,red,2012
California,55,55,0,blue,2012
Colorado,9,9,0,blue,2012
Connecticut,7,7,0,blue,2012
Delaware,3,3,0,blue,2012
District of Columbia,3,3,0,blue,2012
Florida,29,29,0,blue,2012
Georgia,16,0,16,red,2012
Hawaii,4,4,0,blue,2012
Idaho,4,0,4,red,2012
Illinois,20,20,0,blue,2012
Indiana,11,0,11,red,2012
Iowa,6,6,0,blue,2012
Kansas,6,0,6,red,2012
Kentucky,8,0,8,red,2012
Louisiana,8,0,8,red,2012
Maine,4,4,0,blue,2012
Maryland,10,10,0,blue,2012
Massachusetts,11,11,0,blue,2012
Michigan,16,16,0,blue,2012
Minnesota,10,10,0,blue,2012
Mississippi,6,0,6,red,2012
Missouri,10,0,10,red,2012
Montana,3,0,3,red,2012
Nebraska,5,0,5,red,2012
Nevada,6,6,0,blue,2012
New Hampshire,4,4,0,blue,2012
New Jersey,14,14,0,blue,2012
New Mexico,5,5,0,blue,2012
New York,29,29,0,blue,2012
North Carolina,15,0,15,red,2012
North Dakota,3,0,3,red,2012
Ohio,18,18,0,blue,2012
Oklahoma,7,0,7,red,2012
Oregon,7,7,0,blue,2012
Pennsylvania,20,20,0,blue,2012
Rhode Island,4,4,0,blue,2012
South Carolina,9,0,9,red,2012
South Dakota,3,0,3,red,2012
Tennessee,11,0,11,red,2012
Texas,38,0,38,red,2012
Utah,6,0,6,red,2012
Vermont,3,3,0,blue,2012
Virginia,13,13,0,blue,2012
Washington,12,12,0,blue,2012
West Virginia,5,0,5,red,2012
Wisconsin,10,10,0,blue,2012
Wyoming,3,0,3,red,2012
Alabama,9,0,9,red,2016
Alaska,3,0,3,red,2016
Arizona,11,0,11,red,2016
Arkansas,6,0,6,red,2016
California,55,55,0,blue,2016
Colorado,9,9,0,blue,2016
Connecticut,7,7,0,blue,2016
Delaware,3,3,0,blue,2016
District of Columbia,3,3,0,blue,2016
Florida,29,0,29,red,2016
Georgia,16,0,16,red,2016
Hawaii,4,3,0,blue,2016
Idaho,4,0,4,red,2016
Illinois,20,20,0,blue,2016
Indiana,11,0,11,red,2016
Iowa,6,0,6,red,2016
Kansas,6,0,6,red,2016
Kentucky,8,0,8,red,2016
Louisiana,8,0,8,red,2016
Maine,4,3,1,blue,2016
Maryland,10,10,0,blue,2016
Massachusetts,11,11,0,blue,2016
Michigan,16,0,16,red,2016
Minnesota,10,10,0,blue,2016
Mississippi,6,0,6,red,2016
Missouri,10,0,10,red,2016
Montana,3,0,3,red,2016
Nebraska,5,0,5,red,2016
Nevada,6,6,0,blue,2016
New Hampshire,4,4,0,blue,2016
New Jersey,14,14,0,blue,2016
New Mexico,5,5,0,blue,2016
New York,29,29,0,blue,2016
North Carolina,15,0,15,red,2016
North Dakota,3,0,3,red,2016
Ohio,18,0,18,red,2016
Oklahoma,7,0,7,red,2016
Oregon,7,7,0,blue,2016
Pennsylvania,20,0,20,red,2016
Rhode Island,4,4,0,blue,2016
South Carolina,9,0,9,red,2016
South Dakota,3,0,3,red,2016
Tennessee,11,0,11,red,2016
Texas,38,0,36,red,2016
Utah,6,0,6,red,2016
Vermont,3,3,0,blue,2016
Virginia,13,13,0,blue,2016
Washington,12,8,0,blue,2016
West Virginia,5,0,5,red,2016
Wisconsin,10,0,10,red,2016
Wyoming,3,0,3,red,2016
